"bill_id","sponsor_party","session","num_cosponsors","num_d_cosponsors","num_r_cosponsors","title_word_count","originating_committee","day.of.week.introduced","num_amendments","status","is_sponsor_in_leadership","num_originating_committee_cosponsors","num_originating_committee_cosponsors_r","num_originating_committee_cosponsors_d"
"74","HB-2600-2009-2010","Democratic","2009-2010",7,4,3,20,"PAC000004",3,0,"committee:referred",0,2,0,2
"75","HB-2526-2009-2010","Republican","2009-2010",19,6,13,20,"PAC000019",3,0,"committee:referred",0,3,3,0
"76","HB-1888-2009-2010","Republican","2009-2010",15,7,8,19,"PAC000004",5,0,"committee:referred",0,1,1,0
"77","HB-886-2009-2010","Republican","2009-2010",22,2,20,23,"PAC000012",4,0,"committee:referred",0,3,3,0
"78","HB-1464-2009-2010","Democratic","2009-2010",50,28,22,28,"PAC000015",4,1,"committee:referred",0,5,3,2
"79","HB-417-2009-2010","Republican","2009-2010",26,6,20,32,"",5,0,"committee:referred",0,0,0,0
"80","HB-1290-2009-2010","Democratic","2009-2010",18,17,1,23,"PAC000012",1,0,"committee:referred",0,1,0,1
"81","HB-1127-2009-2010","Republican","2009-2010",47,12,35,21,"PAC000005",4,0,"committee:referred",0,5,4,1
"82","HB-1585-2009-2010","Democratic","2009-2010",51,28,23,18,"PAC000005",2,0,"committee:referred",1,4,3,1
"83","HB-2668-2009-2010","Republican","2009-2010",6,0,6,26,"PAC000016",2,0,"committee:referred",0,1,1,0
"84","HB-2615-2009-2010","Democratic","2009-2010",0,0,0,49,"PAC000012",1,0,"committee:referred",1,0,0,0
"85","HB-2389-2009-2010","Democratic","2009-2010",7,5,2,20,"PAC000012",3,0,"committee:referred",0,0,0,0
"86","HB-967-2009-2010","Democratic","2009-2010",33,22,11,25,"PAC000004",2,0,"committee:referred",0,1,0,1
"87","HB-1579-2009-2010","Democratic","2009-2010",56,32,24,20,"PAC000005",2,0,"committee:referred",1,4,3,1
"88","HB-992-2009-2010","Republican","2009-2010",37,1,36,16,"PAC000012",3,0,"committee:referred",1,3,3,0
"89","HB-2495-2009-2010","Democratic","2009-2010",16,14,2,23,"PAC000017",2,0,"committee:referred",0,0,0,0
"90","HB-1152-2009-2010","Democratic","2009-2010",36,31,5,21,"PAC000035",2,1,"committee:referred",0,1,1,0
"91","HB-2723-2009-2010","Republican","2009-2010",10,0,10,27,"PAC000012",2,0,"committee:referred",0,0,0,0
"92","HB-1639-2009-2010","Democratic","2009-2010",32,25,7,36,"PAC000004",1,3,"governor:signed",0,3,0,3
"93","HB-1605-2009-2010","Democratic","2009-2010",23,17,6,25,"PAC000017",3,0,"committee:referred",0,0,0,0
"94","HB-386-2009-2010","Democratic","2009-2010",17,17,0,23,"PAC000004",1,0,"committee:referred",0,0,0,0
"95","HB-1146-2009-2010","Democratic","2009-2010",14,11,3,21,"",2,0,"committee:referred",0,0,0,0
"96","HB-568-2009-2010","Republican","2009-2010",64,24,40,21,"PAC000035",1,0,"committee:referred",0,3,3,0
"97","HB-2571-2009-2010","Democratic","2009-2010",28,27,1,32,"PAC000099",4,0,"bill:passed",0,1,0,1
"98","HB-1207-2009-2010","Republican","2009-2010",23,3,20,24,"PAC000007",5,0,"committee:referred",0,1,1,0
"99","HB-871-2009-2010","Republican","2009-2010",21,10,11,27,"PAC000004",3,0,"bill:reading:1",0,1,0,1
"100","HB-537-2009-2010","Democratic","2009-2010",76,33,43,23,"PAC000004",4,0,"committee:referred",0,7,4,3
"101","HB-1226-2009-2010","Republican","2009-2010",17,2,15,34,"PAC000129",2,0,"committee:referred",0,4,4,0
"102","HB-2745-2009-2010","Democratic","2009-2010",9,8,1,22,"PAC000190",3,0,"committee:referred",0,0,0,0
"103","HB-2689-2009-2010","Democratic","2009-2010",0,0,0,29,"PAC000001",5,0,"committee:referred",0,0,0,0
"104","HB-1308-2009-2010","Republican","2009-2010",9,3,6,24,"PAC000004",2,0,"committee:referred",0,0,0,0
"105","HB-2637-2009-2010","Democratic","2009-2010",5,4,1,21,"PAC000001",4,1,"committee:referred",0,0,0,0
"106","HB-2322-2009-2010","Democratic","2009-2010",19,14,5,45,"PAC000190",5,1,"committee:referred",0,0,0,0
"107","HB-1243-2009-2010","Democratic","2009-2010",20,12,8,25,"PAC000015",3,0,"committee:referred",0,0,0,0
"108","HB-2228-2009-2010","Democratic","2009-2010",13,4,9,23,"PAC000012",2,0,"committee:referred",0,0,0,0
