"county","state","total_votes_12","dem12_frac","rep12_frac","total_population","registered_voters","reg_vote_frac","turnout","hs_diploma_degree","median_income","poverty_frac","caucasian_frac","gini_coefficient","median_age","adult_smoking","uninsured","unemployment","violent_crime","homicide_rate","infant_mortality","african_american_frac","latino_frac","bachelors_degree","graduate_degree","competitive_state_08","margin_state_08"
"Montcalm","Michigan",25431,0.449451456883331,0.535606149974441,63127.5,42595,0.6747455546315,0.597041906327034,0.85,"Medium",0.184,0.9255,0.405,38.6,0.228,0.144,0.11,238.91,3.15,5.4,0.02,0.0295,0.127,0.048,FALSE,0.164729817428484
"Montmorency","Michigan",5051,0.40566224509998,0.579687190655316,10001,7824,0.782321767823218,0.645577709611452,0.839,"Low",0.1745,0.972,0.403,51.7,0.312,0.171,0.154,103.98,11.378,17.2,0.001,0.009,0.106,0.048,FALSE,0.164729817428484
"Muskegon","Michigan",76163,0.583432900489739,0.405498732980581,173172,127551,0.736556718176149,0.597118015538882,0.877,"Medium",0.1735,0.7825,0.423,37.5,0.265,0.136,0.088,437.18,2.89,7.5,0.1385,0.046,0.165,0.055,FALSE,0.164729817428484
"Newaygo","Michigan",21478,0.406369308129249,0.579988825775212,48787,35586,0.729415623014328,0.603551958635418,0.852,"Medium",0.166,0.9125,0.438,39.6,0.233,0.158,0.085,240.58,3.548,6.8,0.01,0.053,0.132,0.047,FALSE,0.164729817428484
"Oakland","Michigan",651607,0.535601980948639,0.455050360109698,1202825,939919,0.78142622576019,0.693258674417689,0.922,"High",0.0845,0.765,0.458,39.5,0.148,0.114,0.091,246.38,3.85,6.5,0.126,0.033,0.422,0.176,FALSE,0.164729817428484
"Oceana","Michigan",11450,0.442183406113537,0.544890829694323,27189,19266,0.708595387840671,0.594311221841586,0.827,"Low",0.194,0.831,0.39,41,0.222,0.194,0.111,186.49,5.26,8.9,0.0035,0.142,0.143,0.056,FALSE,0.164729817428484
"Ogemaw","Michigan",10361,0.462407103561432,0.524756297654667,21529,16342,0.759069162524966,0.634010525027536,0.813,"Low",0.1825,0.96,0.434,46.6,0.199,0.157,0.102,220.07,8.916,13.1,0.001,0.014,0.107,0.041,FALSE,0.164729817428484
"Ontonagon","Michigan",3539,0.448149194687765,0.538570217575586,6843.5,5534,0.808650544312121,0.639501264907842,0.903,"Low",0.122,0.961,0.409,51.8,0.2378,0.166,0.133,98.78,11.726,16.1,0.003,0.0095,0.165,0.057,FALSE,0.164729817428484
"Osceola","Michigan",10278,0.38733216579101,0.59748978400467,23298.5,16933,0.726784986157907,0.60698045237111,0.852,"Medium",0.1845,0.957,0.394,41.2,0.211,0.145,0.102,290.66,9.06,8.34,0.0045,0.014,0.119,0.039,FALSE,0.164729817428484
"Oscoda","Michigan",4042,0.409945571499258,0.57100445324097,8780.5,6658,0.758271169067821,0.607089215980775,0.806,"Low",0.1945,0.9685,0.417,48.9,0.219,0.174,0.151,322.93,12.622,14.38,0.001,0.0105,0.089,0.027,FALSE,0.164729817428484
"Otsego","Michigan",11855,0.394854491775622,0.591396035428089,24048,20841,0.866641716566866,0.568830670313325,0.892,"Low",0.129,0.96,0.419,42.1,0.241,0.14,0.109,174.84,5.384,8.52,0.0015,0.011,0.194,0.064,FALSE,0.164729817428484
"Ottawa","Michigan",132312,0.323001692968136,0.666349235141181,261182.5,195556,0.748733165506877,0.676593916832007,0.905,"High",0.081,0.8625,0.414,34,0.161,0.12,0.068,165.57,1.32,6,0.012,0.083,0.288,0.094,FALSE,0.164729817428484
"Presque Isle","Michigan",7080,0.450847457627119,0.535875706214689,13559,10763,0.793790102514935,0.657809161014587,0.853,"Low",0.12,0.9705,0.402,50.5,0.159,0.162,0.14,145.84,12.552,15.28,0.003,0.0075,0.143,0.047,FALSE,0.164729817428484
"Roscommon","Michigan",13032,0.475598526703499,0.514195825659914,24864.5,21455,0.862876792213799,0.607410859939408,0.837,"Low",0.217,0.967,0.428,51.8,0.258,0.152,0.115,188.43,6.568,13,0.004,0.01,0.136,0.048,FALSE,0.164729817428484
"Saginaw","Michigan",98062,0.554557320878628,0.435642756623361,201491.5,148358,0.736299049835849,0.66098221868723,0.866,"Medium",0.187,0.711,0.442,39,0.191,0.12,0.086,857.41,10.65,9.3,0.1825,0.0755,0.18,0.06,FALSE,0.164729817428484
"St. Clair","Michigan",74181,0.45810921934188,0.52939431930009,166150,123090,0.740836593439663,0.602656592737022,0.878,"High",0.119,0.9245,0.409,40.2,0.25,0.129,0.122,265.89,1.97,6.7,0.024,0.028,0.15,0.057,FALSE,0.164729817428484
"St. Joseph","Michigan",23341,0.433229081873099,0.556017308598603,61757,43250,0.700325469177583,0.539676300578035,0.842,"High",0.1495,0.8835,0.405,38,0.222,0.152,0.084,295.04,4.428,8.4,0.024,0.0655,0.14,0.048,FALSE,0.164729817428484
"Sanilac","Michigan",18369,0.392617997713539,0.596820730578692,43202.5,29139,0.674474856779122,0.630392257798826,0.852,"Medium",0.145,0.948,0.405,41.4,0.248,0.158,0.099,202.25,2.464,5.6,0.003,0.0315,0.11,0.043,FALSE,0.164729817428484
"Schoolcraft","Michigan",4048,0.460721343873518,0.529150197628458,8449,6640,0.785891821517339,0.609638554216868,0.865,"Medium",0.1755,0.872,0.44,47.5,0.195,0.17,0.125,263.19,12.094,8.5,0.0115,0.005,0.132,0.044,FALSE,0.164729817428484
"Shiawassee","Michigan",33679,0.51061492324594,0.47394518839633,71027,52286,0.736142593661565,0.644130359943388,0.893,"High",0.133,0.9545,0.403,39.4,0.213,0.132,0.093,243.46,2.288,8.4,0.0045,0.022,0.149,0.056,FALSE,0.164729817428484
"Tuscola","Michigan",26003,0.439372380109987,0.547629119716956,56133.5,40449,0.720585746479375,0.642858908749289,0.848,"Medium",0.155,0.942,0.39,40.7,0.207,0.146,0.099,171.75,2.222,6,0.012,0.027,0.124,0.039,FALSE,0.164729817428484
"Van Buren","Michigan",32837,0.496086731431008,0.491549167098091,77142,54721,0.709354178009385,0.600080407887283,0.848,"Medium",0.162,0.828,0.436,39.4,0.2,0.152,0.095,328.54,2.42,6.5,0.042,0.0985,0.183,0.071,FALSE,0.164729817428484
"Washtenaw","Michigan",179592,0.673136888057374,0.314111987170921,345399,279659,0.809669396842492,0.642182086040499,0.936,"High",0.1415,0.7315,0.463,32.8,0.116,0.098,0.057,323.91,2.67,5.8,0.122,0.037,0.508,0.262,FALSE,0.164729817428484
"Wayne","Michigan",815825,0.730360064964913,0.262083167345938,1899290.5,1285567,0.676866966901588,0.634603252883747,0.832,"High",0.214,0.4995,0.469,36.5,0.209,0.166,0.117,1122.41,20.58,11,0.404,0.0505,0.202,0.077,FALSE,0.164729817428484
"Wexford","Michigan",14853,0.416346865953006,0.568908637985592,32179.5,24851,0.772261843720381,0.597682185827532,0.874,"Medium",0.1685,0.9555,0.424,39.9,0.24,0.136,0.116,353.17,4.934,6.8,0.004,0.015,0.164,0.055,FALSE,0.164729817428484
