"county","state","total_votes_12","dem12_frac","rep12_frac","total_population","registered_voters","reg_vote_frac","turnout","hs_diploma_degree","median_income","poverty_frac","caucasian_frac","gini_coefficient","median_age","adult_smoking","uninsured","unemployment","violent_crime","homicide_rate","infant_mortality","african_american_frac","latino_frac","bachelors_degree","graduate_degree","competitive_state_08","margin_state_08"
"Rock","Wisconsin",80690,0.609976453092081,0.378200520510596,159580,93224,0.584183481639303,0.865549643868532,0.874,"High",0.1165,0.8565,0.404,37.5,0.233,0.11,0.084,246.49,3.06,5.8,0.0465,0.0685,0.198,0.065,FALSE,0.139041240295943
"Rusk","Wisconsin",7191,0.472396050618829,0.511194548741482,14613.5,8672,0.593423888869881,0.829220479704797,0.853,"Medium",0.1625,0.968,0.409,45.1,0.158,0.113,0.091,118.58,13.992,9.86,0.0055,0.011,0.148,0.039,FALSE,0.139041240295943
"Sauk","Wisconsin",31927,0.58683872584333,0.402104801578601,60107.5,36453,0.606463419706359,0.875840122897978,0.888,"High",0.0885,0.937,0.397,39.9,0.171,0.112,0.069,177.42,2.292,4.6,0.0055,0.034,0.2,0.067,FALSE,0.139041240295943
"Sawyer","Wisconsin",9025,0.497063711911357,0.49218836565097,16733,11105,0.663658638618299,0.812696983340838,0.877,"Low",0.1985,0.795,0.463,46.2,0.268,0.142,0.098,212.33,9.084,9.62,0.003,0.0165,0.205,0.076,FALSE,0.139041240295943
"Shawano","Wisconsin",20279,0.443808866314907,0.543517924946989,41507.5,23939,0.576739143528278,0.847111408162413,0.865,"Medium",0.117,0.8875,0.407,42.2,0.206,0.121,0.077,96.78,2.164,5.9,0.0035,0.0205,0.144,0.047,FALSE,0.139041240295943
"Sheboygan","Wisconsin",62651,0.445611402850713,0.54383808718137,114814.5,70262,0.61196103279638,0.891676866585067,0.895,"High",0.0805,0.8765,0.388,39.4,0.17,0.097,0.066,142.97,1.882,5.6,0.0135,0.052,0.205,0.058,FALSE,0.139041240295943
"St. Croix","Wisconsin",46225,0.43071930773391,0.551714440237966,82447.5,52738,0.639655538372904,0.876502711517312,0.946,"High",0.0615,0.951,0.392,36.2,0.151,0.076,0.053,55.92,2.004,4.1,0.007,0.017,0.325,0.085,FALSE,0.139041240295943
"Taylor","Wisconsin",9512,0.395605550883095,0.588835155592935,20006.5,11140,0.55681903381401,0.853859964093357,0.846,"High",0.121,0.9725,0.41,41.7,0.166,0.109,0.078,54.35,9.222,8.92,0.002,0.013,0.136,0.05,FALSE,0.139041240295943
"Trempealeau","Wisconsin",13481,0.564127290260366,0.423336547733848,28245.5,16191,0.573224053389035,0.832623062195047,0.857,"High",0.109,0.945,0.408,40.7,0.186,0.107,0.054,46.28,5.958,7.84,0.0025,0.04,0.171,0.056,FALSE,0.139041240295943
"Vernon","Wisconsin",14269,0.563739575303105,0.416427219847221,29380.5,16693,0.568165960415922,0.85478943269634,0.855,"Medium",0.1445,0.974,0.411,41.2,0.227,0.13,0.063,46.41,8.49,7.5,0.003,0.012,0.188,0.067,FALSE,0.139041240295943
"Vilas","Wisconsin",13842,0.429923421470886,0.559817945383615,21638,15763,0.728486921157223,0.878132335215378,0.917,"Low",0.113,0.872,0.443,49.8,0.184,0.149,0.095,56.97,9.316,8.8,0.002,0.013,0.25,0.077,FALSE,0.139041240295943
"Walworth","Wisconsin",52303,0.431179855840009,0.554576219337323,101148.5,59714,0.590359718631517,0.875891750678233,0.892,"High",0.113,0.876,0.431,37.5,0.189,0.109,0.073,106.01,1.7,5.4,0.008,0.0955,0.251,0.086,FALSE,0.139041240295943
"Washburn","Wisconsin",9287,0.478841391191989,0.50597609561753,16247,10836,0.666953899181387,0.857050572166851,0.897,"Medium",0.1305,0.958,0.408,46.7,0.231,0.122,0.08,73.98,9.754,8.74,0.0055,0.012,0.187,0.064,FALSE,0.139041240295943
"Washington","Wisconsin",78742,0.294201315689213,0.695499225318128,129966.5,87201,0.670949821684819,0.902994231717526,0.922,"High",0.0535,0.9465,0.385,40,0.142,0.068,0.064,91.18,1.67,3.5,0.008,0.023,0.26,0.077,FALSE,0.139041240295943
"Waukesha","Wisconsin",243856,0.323055409750016,0.667598910832623,384369.5,270732,0.704353493188195,0.900728395608942,0.95,"High",0.0425,0.9115,0.417,41.3,0.161,0.06,0.06,70.3,0.89,4.6,0.013,0.038,0.392,0.131,FALSE,0.139041240295943
"Waupaca","Wisconsin",25840,0.448065015479876,0.54187306501548,52162,30166,0.578313714964917,0.856593515878804,0.882,"High",0.1035,0.96,0.393,42.6,0.198,0.098,0.074,116.3,2.824,6.3,0.0025,0.022,0.161,0.045,FALSE,0.139041240295943
"Waushara","Wisconsin",12048,0.44281208499336,0.544654714475432,24578,13805,0.561681178289527,0.872727272727273,0.844,"Medium",0.1285,0.9115,0.389,45.4,0.21,0.137,0.081,102.65,5.942,7.96,0.0185,0.053,0.133,0.043,FALSE,0.139041240295943
"Winnebago","Wisconsin",89173,0.509672210198154,0.47236271068597,164190,101016,0.615238443266947,0.88276114674903,0.898,"High",0.102,0.914,0.429,37.4,0.176,0.092,0.064,211.34,1.66,6.3,0.016,0.0325,0.237,0.073,FALSE,0.139041240295943
"Wood","Wisconsin",38900,0.477660668380463,0.506529562982005,74386,44693,0.600825424138951,0.870382386503479,0.892,"High",0.0805,0.9435,0.405,42,0.183,0.083,0.072,30,2.018,4.4,0.0045,0.0175,0.192,0.067,FALSE,0.139041240295943
"Appling","Georgia",7086,0.24809483488569,0.73849844764324,18053.5,10955,0.606807544243498,0.646827932450936,0.751,"Medium",0.223,0.72,0.422,39,0.278,0.252,0.103,211.08,9.54,11.4,0.1865,0.079,0.083,0.032,TRUE,0.0521432029557905
"Atkinson","Georgia",2902,0.320468642315644,0.667815299793246,8249.5,4371,0.52985029395721,0.663921299473805,0.667,"Low",0.2865,0.575,0.447,33.4,0.2284,0.34,0.134,424.28,11.144,10.16,0.172,0.2425,0.08,0.033,TRUE,0.0521432029557905
"Bacon","Georgia",3931,0.201221063342661,0.786822691427118,10780,4981,0.462059369202226,0.789198956032925,0.726,"Medium",0.149,0.7645,0.46,35.8,0.2616,0.267,0.098,249.82,12.338,10.28,0.1665,0.057,0.074,0.039,TRUE,0.0521432029557905
"Baker","Georgia",1589,0.499685336689742,0.494021397105098,3630.5,2162,0.595510260294725,0.734967622571693,0.751,"Medium",0.264,0.446,0.511,37.2,0.2532,0.194,0.087,475.054,24.462,14.38,0.5215,0.021,0.122,0.015,TRUE,0.0521432029557905
"Baldwin","Georgia",16238,0.522416553762779,0.467360512378372,45986,21737,0.472687339625103,0.747021208078392,0.78,"Low",0.239,0.5375,0.457,34.4,0.241,0.191,0.12,633.4,7.65,8.3,0.423,0.0175,0.184,0.081,TRUE,0.0521432029557905
"Banks","Georgia",6195,0.12590799031477,0.864245359160613,17391.5,8761,0.503751832791881,0.707111060381235,0.73,"High",0.1535,0.9,0.437,37.5,0.275,0.244,0.066,353.78,9.406,10.6,0.0295,0.049,0.105,0.039,TRUE,0.0521432029557905
"Barrow","Georgia",25199,0.239215841898488,0.743085043057264,67912.5,35096,0.516782624700902,0.718002051515842,0.789,"High",0.1305,0.7595,0.398,32.9,0.261,0.226,0.084,460.83,4.95,5.9,0.112,0.0795,0.149,0.049,TRUE,0.0521432029557905
"Bartow","Georgia",35802,0.234512038433607,0.75068431931177,96323.5,50680,0.526143672104938,0.706432517758485,0.783,"High",0.1435,0.809,0.429,36.1,0.213,0.235,0.092,322.27,3.61,6.3,0.098,0.068,0.165,0.059,TRUE,0.0521432029557905
"Ben Hill","Georgia",5956,0.42175957018133,0.570181329751511,17584.5,8497,0.483209644857687,0.700953277627398,0.699,"Low",0.2605,0.5805,0.466,37.2,0.233,0.236,0.129,359.954,8.16,12.2,0.342,0.0655,0.123,0.051,TRUE,0.0521432029557905
"Berrien","Georgia",6201,0.205289469440413,0.781003064021932,18050,10311,0.571246537396122,0.601396566773349,0.689,"Low",0.2265,0.832,0.43,37.3,0.296,0.256,0.102,282.36,9.556,10.6,0.1115,0.039,0.108,0.036,TRUE,0.0521432029557905
"Bibb","Georgia",64718,0.596201983992089,0.395917673599308,155290.5,88719,0.571309899832894,0.729471702791961,0.812,"Medium",0.221,0.4395,0.495,35.5,0.167,0.197,0.098,566.33,15.43,13.9,0.507,0.023,0.231,0.08,TRUE,0.0521432029557905
"Bleckley","Georgia",4907,0.258610148767067,0.730996535561443,12823.5,6381,0.497602058720318,0.769001723867732,0.732,"Medium",0.1935,0.695,0.491,39.2,0.197,0.182,0.135,299.68,6.304,15.54,0.2755,0.012,0.101,0.063,TRUE,0.0521432029557905
"Brantley","Georgia",6002,0.156447850716428,0.82705764745085,16926.5,8743,0.516527338788291,0.686492050783484,0.757,"High",0.194,0.929,0.433,37.2,0.241,0.247,0.111,279.45,9.92,10.22,0.043,0.014,0.049,0.023,TRUE,0.0521432029557905
"Brooks","Georgia",6742,0.465440522100267,0.527143280925541,16283.5,9281,0.569963459944115,0.726430341558022,0.782,"Medium",0.1675,0.5785,0.437,38.8,0.217,0.25,0.086,856.4,9.012,15.74,0.354,0.0485,0.158,0.058,TRUE,0.0521432029557905
"Bryan","Georgia",13453,0.275551921504497,0.710622166059615,30171,19513,0.646746876139339,0.689437810690309,0.884,"High",0.104,0.7795,0.422,35.5,0.131,0.178,0.076,155.02,5.41,7.96,0.138,0.038,0.276,0.086,TRUE,0.0521432029557905
"Bulloch","Georgia",24085,0.3982976956612,0.588499065808595,68291.5,35718,0.523022630927714,0.674309871773336,0.852,"Low",0.2715,0.66,0.478,25.9,0.194,0.258,0.104,370.54,2.61,10.1,0.279,0.031,0.252,0.108,TRUE,0.0521432029557905
"Burke","Georgia",9779,0.552715001533899,0.439820022497188,23061.5,12928,0.560587992975305,0.756420173267327,0.751,"Medium",0.245,0.4665,0.451,35.2,0.088,0.205,0.116,857.64,11.79,11.4,0.498,0.0225,0.091,0.035,TRUE,0.0521432029557905
"Butts","Georgia",9381,0.31638418079096,0.672209785737128,23625.5,11837,0.501026433302999,0.792514995353552,0.765,"High",0.1245,0.691,0.391,37.5,0.2904,0.212,0.106,266.13,8.09,11.06,0.2715,0.0235,0.091,0.039,TRUE,0.0521432029557905
"Calhoun","Georgia",2188,0.593235831809872,0.403564899451554,6403.5,2850,0.445069102834387,0.767719298245614,0.683,"Low",0.277,0.3495,0.446,36.6,0.2612,0.239,0.107,192.76,11.314,14.3,0.6035,0.039,0.087,0.022,TRUE,0.0521432029557905
"Camden","Georgia",17983,0.354612689762554,0.630762386698549,48758,27268,0.559251815086755,0.659490978436262,0.891,"High",0.144,0.7255,0.404,31.2,0.243,0.17,0.09,411.42,4.72,6.3,0.191,0.0395,0.204,0.083,TRUE,0.0521432029557905
"Candler","Georgia",3528,0.327947845804989,0.664399092970522,10689,4890,0.45747965197867,0.721472392638037,0.775,"Low",0.216,0.6225,0.42,37.6,0.272,0.26,0.103,181.85,12.536,12.82,0.228,0.121,0.132,0.038,TRUE,0.0521432029557905
"Carroll","Georgia",41549,0.30537437724133,0.680642133384678,110584,57996,0.524452000289373,0.716411476653562,0.788,"Medium",0.1675,0.7435,0.429,33.2,0.215,0.226,0.097,572.92,4.94,7.3,0.1755,0.055,0.183,0.067,TRUE,0.0521432029557905
"Catoosa","Georgia",23678,0.226581636962581,0.754202213024749,63008.5,41328,0.655911504003428,0.572928765001936,0.821,"High",0.11,0.9295,0.412,38,0.229,0.181,0.066,176.21,3,7.1,0.021,0.021,0.173,0.052,TRUE,0.0521432029557905
"Charlton","Georgia",3764,0.318012752391073,0.671360255047821,11435.5,5290,0.462594552052818,0.711531190926276,0.726,"Medium",0.189,0.6735,0.432,36.8,0.322,0.212,0.114,163.99,11.834,13.74,0.2855,0.022,0.072,0.029,TRUE,0.0521432029557905
"Chatham","Georgia",108628,0.554608388260854,0.434547262216003,256603,150424,0.586212943730198,0.722145402329415,0.874,"High",0.1595,0.5175,0.476,34.3,0.188,0.223,0.086,442.66,12.19,10.4,0.3995,0.042,0.29,0.101,TRUE,0.0521432029557905
"Chattahoochee","Georgia",1490,0.489261744966443,0.493288590604027,12815.5,4152,0.323982677226796,0.358863198458574,0.932,"High",0.1625,0.5995,0.37,25.4,0.2178,0.155,0.183,157.69,11.596,8.82,0.2185,0.12,0.315,0.075,TRUE,0.0521432029557905
"Chattooga","Georgia",7822,0.285349015597034,0.697008437739709,26253.5,11844,0.451139848020264,0.660418777440054,0.684,"Medium",0.192,0.838,0.4,38.1,0.289,0.226,0.108,180.89,8.71,9.5,0.1105,0.0375,0.08,0.027,TRUE,0.0521432029557905
"Cherokee","Georgia",98220,0.202005701486459,0.779006312360008,207789.5,128873,0.620209394603673,0.762145678303446,0.889,"High",0.0725,0.818,0.41,35.7,0.167,0.183,0.072,94.58,1.59,4.6,0.054,0.092,0.336,0.091,TRUE,0.0521432029557905
"Clarke","Georgia",40368,0.629979191438763,0.342226516052319,114913,60266,0.524448930930356,0.669830418478081,0.843,"Low",0.3325,0.589,0.531,25.8,0.122,0.243,0.07,369.83,5.03,9.1,0.2595,0.0955,0.412,0.193,TRUE,0.0521432029557905
"Clay","Georgia",1402,0.614835948644793,0.3830242510699,3169.5,1773,0.559394226218646,0.790750141003948,0.781,"Low",0.3025,0.3305,0.422,42.3,0.238,0.21,0.094,176.88,12.144,16.2,0.653,0.0055,0.085,0.039,TRUE,0.0521432029557905
"Clayton","Georgia",96067,0.84814764695473,0.147438766694078,265538,156049,0.58767106779444,0.615620734512877,0.826,"High",0.156,0.1785,0.393,31.1,0.17,0.254,0.111,546.44,12.2,10,0.625,0.1255,0.179,0.052,TRUE,0.0521432029557905
"Clinch","Georgia",2472,0.344660194174757,0.646440129449838,6901,3626,0.525431096942472,0.681742967457253,0.729,"Medium",0.2575,0.665,0.43,35.9,0.3138,0.219,0.109,380.1,14.448,14.56,0.294,0.021,0.171,0.07,TRUE,0.0521432029557905
"Cobb","Georgia",310116,0.429271627391041,0.553734731519818,689254,415314,0.602555806712765,0.746702494979702,0.902,"High",0.1,0.5815,0.441,34.9,0.141,0.204,0.081,271.9,4.58,6.3,0.2335,0.118,0.438,0.146,TRUE,0.0521432029557905
"Coffee","Georgia",14454,0.349868548498685,0.639822886398229,41277,19905,0.48222981321317,0.726149208741522,0.739,"Medium",0.217,0.616,0.449,34.5,0.215,0.255,0.131,357,6.61,11.4,0.2665,0.0995,0.11,0.046,TRUE,0.0521432029557905
"Colquitt","Georgia",13328,0.298094237695078,0.693502400960384,45065.5,19536,0.433502346584416,0.682227682227682,0.718,"Low",0.231,0.595,0.458,34.5,0.239,0.279,0.092,342.44,11.64,8.7,0.2235,0.163,0.112,0.043,TRUE,0.0521432029557905
"Columbia","Georgia",58923,0.279194881455459,0.708806408363457,116034,79821,0.687910440043435,0.738189198331266,0.899,"High",0.0685,0.7515,0.411,36.8,0.164,0.154,0.068,116.98,2.01,6.9,0.1455,0.0415,0.338,0.127,TRUE,0.0521432029557905
"Cook","Georgia",6031,0.338583982755762,0.652462278229149,16815.5,8400,0.499539115696827,0.71797619047619,0.722,"Low",0.2225,0.6525,0.442,36,0.225,0.267,0.112,299.64,9.35,10.56,0.2805,0.054,0.104,0.035,TRUE,0.0521432029557905
"Coweta","Georgia",55555,0.273026730267303,0.713761137611376,122924,73888,0.601086850411636,0.751881225638805,0.872,"High",0.102,0.737,0.388,36.1,0.161,0.171,0.083,203.92,4.15,5.4,0.1715,0.0615,0.257,0.083,TRUE,0.0521432029557905
"Crawford","Georgia",5133,0.33235924410676,0.656146503019677,12570.5,6956,0.553359054930194,0.737924094307073,0.787,"High",0.214,0.734,0.46,39.4,0.283,0.239,0.094,263.93,11.374,15.22,0.226,0.024,0.136,0.027,TRUE,0.0521432029557905
"Crisp","Georgia",7396,0.428204434829638,0.565440778799351,22750.5,10451,0.459374519241335,0.707683475265525,0.734,"Low",0.2935,0.517,0.471,37.7,0.199,0.208,0.123,576,11.82,10.1,0.4405,0.031,0.117,0.047,TRUE,0.0521432029557905
"Dade","Georgia",6020,0.234385382059801,0.742691029900332,16351.5,11006,0.673088095893343,0.546974377612212,0.791,"Low",0.1545,0.9495,0.427,38.7,0.196,0.19,0.075,318.13,9.41,13.08,0.008,0.017,0.168,0.052,TRUE,0.0521432029557905
"Dawson","Georgia",10244,0.121144084342054,0.863627489262007,21830,13217,0.60545121392579,0.775062419611107,0.846,"High",0.115,0.935,0.421,40.7,0.292,0.224,0.077,82.83,8.584,9.7,0.002,0.035,0.188,0.057,TRUE,0.0521432029557905
"Decatur","Georgia",10485,0.437863614687649,0.555460181211254,28168.5,14145,0.502156664359125,0.741251325556734,0.756,"Medium",0.231,0.537,0.48,36.3,0.244,0.221,0.113,439.8,7.18,7.5,0.4025,0.0455,0.125,0.049,TRUE,0.0521432029557905
"Dodge","Georgia",7733,0.315789473684211,0.67425320056899,20745.5,11032,0.531777975946591,0.700960841189268,0.769,"High",0.2115,0.6615,0.464,37.7,0.189,0.208,0.115,477.48,8.11,10.94,0.298,0.028,0.138,0.048,TRUE,0.0521432029557905
"Dooly","Georgia",4298,0.531642624476501,0.461842717543043,13279.5,5680,0.427726947550736,0.75669014084507,0.697,"Medium",0.273,0.442,0.48,40.3,0.2128,0.237,0.131,431.92,9.75,15.76,0.4945,0.055,0.096,0.037,TRUE,0.0521432029557905
"Dougherty","Georgia",37919,0.693451831535642,0.301933067855165,94947.5,54258,0.571452644882698,0.69886468354897,0.807,"Low",0.2705,0.3095,0.501,32.9,0.185,0.211,0.106,810.32,8.92,10.6,0.651,0.0185,0.196,0.078,TRUE,0.0521432029557905
"Douglas","Georgia",55267,0.514610888957244,0.474804132665062,127530,74210,0.581902297498628,0.744737905942595,0.864,"High",0.111,0.533,0.394,34.5,0.148,0.206,0.092,291.54,4.77,7.2,0.3595,0.071,0.237,0.077,TRUE,0.0521432029557905
"Early","Georgia",5353,0.516532785354007,0.477676069493742,11410,7767,0.680718667835232,0.689197888502639,0.771,"Low",0.2795,0.4775,0.478,38.2,0.242,0.193,0.084,521.4,18.086,14.06,0.502,0.0095,0.135,0.065,TRUE,0.0521432029557905
"Echols","Georgia",1102,0.156987295825771,0.832123411978221,4095.5,1864,0.455133683310951,0.591201716738197,0.678,"Low",0.3195,0.6195,0.383,28.8,0.2888,0.354,0.071,147.57,12.802,10.72,0.029,0.3345,0.061,0.026,TRUE,0.0521432029557905
"Effingham","Georgia",20816,0.237653727901614,0.749231360491929,51303.5,29368,0.572436578401084,0.708798692454372,0.843,"High",0.1045,0.8115,0.388,35,0.179,0.188,0.077,113.91,4.1,9.4,0.138,0.026,0.155,0.052,TRUE,0.0521432029557905
"Elbert","Georgia",8143,0.39064226943387,0.596708829669655,20370,11182,0.548944526264114,0.72822393131819,0.73,"Medium",0.2205,0.6485,0.442,39.9,0.188,0.244,0.118,373.77,7.978,10.3,0.2955,0.0425,0.096,0.034,TRUE,0.0521432029557905
"Emanuel","Georgia",8083,0.362118025485587,0.630953853767166,22609,11080,0.490070325976381,0.729512635379061,0.724,"Low",0.245,0.604,0.464,36.4,0.2418,0.247,0.113,96.61,9.68,10.5,0.3315,0.0535,0.097,0.043,TRUE,0.0521432029557905
"Evans","Georgia",3563,0.35587987650856,0.636542239685658,11223,4886,0.435355965428139,0.729226361031519,0.733,"Low",0.2235,0.575,0.423,36.7,0.299,0.264,0.088,280.52,7.888,14.74,0.2935,0.1155,0.134,0.058,TRUE,0.0521432029557905
"Fannin","Georgia",10017,0.202455825097335,0.784366576819407,23058,14514,0.629456154046318,0.690161223646135,0.779,"Medium",0.1485,0.96,0.439,47.2,0.267,0.248,0.096,424.75,8.854,12.1,0.0025,0.0155,0.162,0.072,TRUE,0.0521432029557905
"Fayette","Georgia",58568,0.336975822975003,0.650099030187133,105935,74541,0.703648463680559,0.7857152439597,0.936,"High",0.045,0.6985,0.395,41.4,0.123,0.131,0.079,74.16,3.16,4.8,0.1905,0.0525,0.415,0.154,TRUE,0.0521432029557905
"Floyd","Georgia",32829,0.293642815803101,0.692467026104968,95778,47235,0.4931717095784,0.695014290250873,0.759,"Medium",0.188,0.749,0.458,37.2,0.206,0.228,0.1,470.61,4.34,11.4,0.136,0.0855,0.179,0.072,TRUE,0.0521432029557905
"Forsyth","Georgia",81731,0.178279967209504,0.806401487807564,166512.5,102354,0.614692590646348,0.798513003888465,0.906,"High",0.057,0.818,0.395,36.3,0.124,0.154,0.068,129.87,1.38,4.3,0.0265,0.088,0.436,0.125,TRUE,0.0521432029557905
"Franklin","Georgia",7762,0.193120329811904,0.787683586704458,21892.5,11215,0.512275893570858,0.692108782880071,0.743,"Medium",0.1745,0.867,0.458,39.4,0.195,0.227,0.106,123.37,7.526,11.32,0.0845,0.029,0.136,0.045,TRUE,0.0521432029557905
"Fulton","Georgia",397413,0.642832519318694,0.345041556265145,953864.5,567174,0.59460646664175,0.700689735425108,0.896,"High",0.1535,0.4225,0.529,34,0.133,0.224,0.096,840.82,13.8,8.1,0.43,0.08,0.476,0.177,TRUE,0.0521432029557905
"Gilmer","Georgia",11018,0.177709203122164,0.810128880014522,28336.5,14825,0.523176821414077,0.743204047217538,0.754,"Low",0.198,0.8835,0.45,41,0.223,0.28,0.102,126.81,5.658,11.4,0.0015,0.0975,0.134,0.041,TRUE,0.0521432029557905
"Glascock","Georgia",1333,0.132033008252063,0.851462865716429,2909,1856,0.638019938123066,0.718211206896552,0.725,"Medium",0.169,0.877,0.412,37.4,0.2686,0.194,0.114,22.42,13.234,14.12,0.102,0.0075,0.105,0.029,TRUE,0.0521432029557905
"Glynn","Georgia",33133,0.360667612350225,0.630579784504874,77066.5,46963,0.609382805758663,0.705512850541916,0.861,"High",0.151,0.6615,0.472,39.1,0.18,0.226,0.097,698,9.96,10,0.256,0.056,0.264,0.098,TRUE,0.0521432029557905
"Gordon","Georgia",16897,0.203586435461916,0.781026217671776,53473,25347,0.474014923419296,0.666627214265988,0.733,"Medium",0.165,0.8045,0.412,35.3,0.236,0.254,0.1,331.31,4.59,8.4,0.0355,0.1375,0.127,0.044,TRUE,0.0521432029557905
"Grady","Georgia",9396,0.363878246062154,0.630481055768412,24906,14939,0.599815305548864,0.628957761563692,0.741,"Medium",0.24,0.5995,0.484,36.7,0.264,0.275,0.076,194.65,6.126,9.7,0.2835,0.0975,0.101,0.037,TRUE,0.0521432029557905
"Greene","Georgia",8323,0.384596900156194,0.609275501622011,15811.5,10525,0.665654744964108,0.790783847980998,0.753,"Low",0.225,0.5565,0.564,44.8,0.126,0.229,0.096,306.88,9.484,17.02,0.383,0.0465,0.189,0.065,TRUE,0.0521432029557905
"Gwinnett","Georgia",296728,0.446567226550915,0.538725701652692,786116.5,395934,0.503658172802632,0.74943803765274,0.873,"High",0.1025,0.4795,0.408,33.3,0.136,0.238,0.078,256.77,5.37,6.2,0.2135,0.1845,0.349,0.109,TRUE,0.0521432029557905
"Habersham","Georgia",14641,0.157161396079503,0.830954169797145,42415.5,22311,0.526010538600276,0.656223387566671,0.75,"Low",0.1865,0.8075,0.44,36.2,0.252,0.257,0.089,200.47,5.92,7.72,0.039,0.118,0.187,0.07,TRUE,0.0521432029557905
"Hall","Georgia",61364,0.211834300241184,0.773759859200834,178684.5,85079,0.476140907577322,0.721259065104197,0.765,"High",0.143,0.6425,0.444,34.1,0.166,0.25,0.075,172.66,3.1,6.6,0.0675,0.26,0.21,0.076,TRUE,0.0521432029557905
"Hancock","Georgia",4088,0.809197651663405,0.188111545988258,9439,5599,0.59317724335205,0.730130380425076,0.661,"Low",0.2425,0.2335,0.424,40.9,0.2156,0.213,0.17,136.97,6.096,14.98,0.749,0.0095,0.103,0.033,TRUE,0.0521432029557905
"Haralson","Georgia",10376,0.172417116422514,0.813993831919815,28669.5,14543,0.507263816948325,0.713470398129684,0.696,"Medium",0.196,0.915,0.441,38,0.299,0.204,0.095,522.03,5.04,9.32,0.0495,0.0115,0.11,0.032,TRUE,0.0521432029557905
"Harris","Georgia",15488,0.267626549586777,0.722946797520661,30454,20258,0.665199973730873,0.76453746667983,0.885,"High",0.096,0.77,0.455,41.5,0.185,0.148,0.068,76.21,4.78,10.48,0.177,0.024,0.274,0.107,TRUE,0.0521432029557905
"Hart","Georgia",9511,0.301755861633898,0.685206602880875,24650.5,12629,0.512322265268453,0.753107926201599,0.753,"Medium",0.2105,0.7695,0.469,41.9,0.2488,0.232,0.11,328.18,6,11.42,0.1925,0.0235,0.152,0.056,TRUE,0.0521432029557905
"Heard","Georgia",4172,0.227229146692234,0.757430488974113,11628.5,5462,0.469708044889711,0.763822775540095,0.718,"Medium",0.1885,0.8635,0.399,39.2,0.2424,0.206,0.102,252.17,14.262,15.86,0.099,0.0145,0.073,0.021,TRUE,0.0521432029557905
"Henry","Georgia",91378,0.478900829521329,0.511873755170829,193437,123177,0.636780967446766,0.741843038879011,0.892,"High",0.0775,0.5645,0.369,34.8,0.207,0.178,0.09,204.55,4.4,7.7,0.332,0.0525,0.244,0.082,TRUE,0.0521432029557905
"Houston","Georgia",58056,0.391036240870883,0.597044233154196,135405,79762,0.589062442302721,0.727865399563702,0.873,"High",0.125,0.6255,0.407,34.4,0.204,0.176,0.076,348.05,4.76,9.4,0.2755,0.0505,0.244,0.091,TRUE,0.0521432029557905
"Irwin","Georgia",3709,0.307630088972769,0.684281477487193,9838,4825,0.490445212441553,0.768704663212435,0.703,"Low",0.2875,0.701,0.436,37.3,0.2882,0.244,0.119,279.07,12.548,15.04,0.2545,0.037,0.092,0.052,TRUE,0.0521432029557905
"Jackson","Georgia",23704,0.178788390145123,0.807247721903476,59564.5,31874,0.535117393749633,0.743678233042605,0.789,"High",0.149,0.8425,0.41,36,0.243,0.212,0.087,146.76,4.35,8.2,0.0705,0.0545,0.177,0.076,TRUE,0.0521432029557905
"Jasper","Georgia",6031,0.305919416348864,0.685790084563091,13744,7972,0.580034924330617,0.756522829904666,0.783,"Medium",0.1805,0.727,0.451,38.1,0.21,0.239,0.096,205.6,13.606,14.46,0.222,0.0355,0.133,0.056,TRUE,0.0521432029557905
"Jeff Davis","Georgia",5336,0.238943028485757,0.748875562218891,14190,7469,0.526356589147287,0.714419601017539,0.752,"Medium",0.231,0.7445,0.406,36.5,0.17,0.255,0.139,328.41,12.478,14.18,0.153,0.0925,0.115,0.036,TRUE,0.0521432029557905
"Jefferson","Georgia",7298,0.583858591394903,0.410934502603453,16705,9806,0.587009877282251,0.744238221497043,0.726,"Medium",0.276,0.4185,0.446,38.1,0.151,0.225,0.139,223.14,9.28,16.88,0.546,0.026,0.087,0.025,TRUE,0.0521432029557905
"Jenkins","Georgia",3390,0.438938053097345,0.556637168141593,8436,4839,0.573613086770982,0.700557966522009,0.706,"Low",0.198,0.558,0.505,40.1,0.246,0.258,0.172,374.178,19.024,16.42,0.373,0.0605,0.128,0.049,TRUE,0.0521432029557905
"Johnson","Georgia",3772,0.345970307529162,0.646871686108165,9591,4968,0.517985611510791,0.759259259259259,0.655,"Low",0.2735,0.6105,0.523,40.3,0.149,0.215,0.13,422.19,11.92,14.88,0.367,0.013,0.089,0.029,TRUE,0.0521432029557905
"Jones","Georgia",12105,0.353077240809583,0.639735646427096,27962.5,15683,0.560858292355834,0.771854874705095,0.854,"High",0.1385,0.732,0.406,38.9,0.233,0.182,0.086,109.82,5.564,12.7,0.2395,0.012,0.172,0.059,TRUE,0.0521432029557905
"Lamar","Georgia",7592,0.3427291886196,0.645284510010537,17663.5,11649,0.659495569960653,0.651729762211349,0.762,"Low",0.207,0.668,0.425,37.7,0.2408,0.21,0.106,462.87,9.84,12.92,0.3,0.0175,0.097,0.038,TRUE,0.0521432029557905
