"Country","Continent","LE","Year","Population","Urban.pop","GDP","Household.consump","Unemployment","Forest.area","Arable.land","Water","Food.prod.index","Health.expend","Immunization","Sanitation.faci","Immunization.measles","Health.exp.pocket","Fixed.tel","Mobile.cel","Internet.users"
"Austria","Europe",80.89,2013,102.74,65.88,50557.8,12.3514707617517,4.9,46.84,0.16,100,101.96,8.36,83,100,76,15.81,39.25,156.23,80.62
"Portugal","Europe",80.37,2013,114.16,62.34,21618.74,11.902057850693,16.5,34.99,0.11,100,104.17,6.28,98,99.6,98,26.63,42.7,113.04,62.1
"United States","North America",78.84,2013,34.6,81.28,52980.04,16.2576125285249,7.4,33.84,0.48,99.2,113.23,8.05,94,100,91,11.82,41.63,97.08,84.2
"Czech Republic","Europe",78.28,2013,136.14,73.06,19813.87,11.5494296069677,7,34.48,0.3,100,92.29,6.03,99,99.1,99,15.71,18.7,127.73,74.11
"Estonia","Europe",76.42,2013,31.09,67.72,19155.42,9.47174956512361,8.6,52.67,0.48,99.6,133.76,4.46,94,97.2,94,18.89,33.13,159.66,79.4
"Serbia","Europe",75.14,2013,81.91,55.37,6353.83,10.4421583752415,22.1,31.07,0.46,99.2,108.43,6.41,95,96.5,92,37.9,39.35,119.39,51.5
"Bulgaria","Europe",74.47,2013,66.92,73.3,7656.64,10.4568854781404,12.9,34.9,0.48,99.5,120.44,4.52,95,86,95,39.63,26.89,145.19,53.06
"Lithuania","Europe",74.16,2013,47.19,66.55,15692.01,10.2809498838337,11.8,34.72,0.77,96.2,117.12,4.15,93,91.6,93,32.63,20.75,151.34,68.45
"Latvia","Europe",73.98,2013,32.36,67.48,15025.81,9.83036832218532,11.9,53.95,0.6,99.2,120.74,3.54,94,86.9,96,36.45,20.63,124.76,75.23
"Bahamas, The","North America",73.64,2005,32.89,82.28,23405.88,8.53757604250689,10.2,51.45,0.02,97.3,98.51,2.64,93,90,85,29.47,40.44,69.21,25
"Timor-Leste","Asia",63.1,2005,65.85,26.31,501.43,6.04973345523196,7.2,53.67,0.17,60.9,97.5,1.41,55,37.8,48,3.41,0.23,3.32,0.1
"Qatar","Asia",78.3,2011,164.12,98.81,89115.9,9.9966253744788,0.6,0,0.01,100,134.71,1.52,93,98.1,98,13.65,16.17,120.48,69
"Qatar","Asia",76.82,2000,51.12,96.31,29926.36,7.90253181487637,1,0,0.02,99.1,110.77,1.57,80,99.4,91,27.7,26.98,20.36,4.86
"Comoros","Africa",60.86,2013,403.92,28.1,796.76,6.46010787656534,6.5,20.31,0.09,90.1,112.92,1.89,83,35,82,45.14,3.13,47.28,6.5
"Netherlands","Europe",80.55,2009,490.08,86.24,51900.34,12.8698220653807,3.4,11.01,0.06,100,109.22,9.45,97,97.8,96,5.34,43.81,121.66,89.63
